title,rating,year_of_release,director,actors,runtime,url
All About Eve,8.2,1950,Joseph L. Mankiewicz,Bette Davis; Anne Baxter; George Sanders; Celeste Holm,138,/title/tt0042192/?ref_=adv_li_tt
Rashomon,8.2,1950,Akira Kurosawa,Toshirô Mifune; Machiko Kyô; Masayuki Mori; Takashi Shimura,88,/title/tt0042876/?ref_=adv_li_tt
Orphée,7.9,1950,Jean Cocteau,Jean Marais; François Périer; María Casares; Marie Déa,112,/title/tt0041719/?ref_=adv_li_tt
The Browning Version,8.1,1951,Anthony Asquith,Michael Redgrave; Jean Kent; Nigel Patrick; Wilfrid Hyde-White,90,/title/tt0043362/?ref_=adv_li_tt
Scrooge,8.1,1951,Brian Desmond Hurst,Alastair Sim; Jack Warner; Kathleen Harrison; Mervyn Johns,86,/title/tt0044008/?ref_=adv_li_tt
Early Summer,8.1,1951,Yasujirô Ozu,Setsuko Hara; Chishû Ryû; Chikage Awashima; Kuniko Miyake,125,/title/tt0043313/?ref_=adv_li_tt
Het grote carnaval,8.1,1951,Billy Wilder,Kirk Douglas; Jan Sterling; Robert Arthur; Porter Hall,111,/title/tt0043338/?ref_=adv_li_tt
A Streetcar Named Desire,7.9,1951,Elia Kazan,Vivien Leigh; Marlon Brando; Kim Hunter; Karl Malden,122,/title/tt0044081/?ref_=adv_li_tt
Singin' in the Rain,8.3,1952,"Stanley Donen, Gene Kelly",Gene Kelly; Donald O'Connor; Debbie Reynolds; Jean Hagen,103,/title/tt0045152/?ref_=adv_li_tt
Ikiru,8.3,1952,Akira Kurosawa,Takashi Shimura; Nobuo Kaneko; Shin'ichi Himori; Haruo Tanaka,143,/title/tt0044741/?ref_=adv_li_tt
Umberto D.,8.2,1952,Vittorio De Sica,Carlo Battisti; Maria Pia Casilio; Lina Gennari; Ileana Simova,89,/title/tt0045274/?ref_=adv_li_tt
Saikaku ichidai onna,8.1,1952,Kenji Mizoguchi,Kinuyo Tanaka; Tsukie Matsuura; Ichirô Sugai; Toshirô Mifune,148,/title/tt0045112/?ref_=adv_li_tt
Klokslag 12,8.0,1952,Fred Zinnemann,Gary Cooper; Grace Kelly; Thomas Mitchell; Lloyd Bridges,85,/title/tt0044706/?ref_=adv_li_tt
Tokyo Story,8.2,1953,Yasujirô Ozu,Chishû Ryû; Chieko Higashiyama; Sô Yamamura; Setsuko Hara,136,/title/tt0046438/?ref_=adv_li_tt
Ugetsu monogatari,8.2,1953,Kenji Mizoguchi,Masayuki Mori; Machiko Kyô; Kinuyo Tanaka; Mitsuko Mito,96,/title/tt0046478/?ref_=adv_li_tt
Het loon van de Angst,8.2,1953,Henri-Georges Clouzot,Yves Montand; Charles Vanel; Peter van Eyck; Folco Lulli,131,/title/tt0046268/?ref_=adv_li_tt
Stalag 17,8.0,1953,Billy Wilder,William Holden; Don Taylor; Otto Preminger; Robert Strauss,120,/title/tt0046359/?ref_=adv_li_tt
Roman Holiday,8.0,1953,William Wyler,Gregory Peck; Audrey Hepburn; Eddie Albert; Hartley Power,118,/title/tt0046250/?ref_=adv_li_tt
Shichinin no samurai,8.6,1954,Akira Kurosawa,Toshirô Mifune; Takashi Shimura; Keiko Tsushima; Yukiko Shimazaki,207,/title/tt0047478/?ref_=adv_li_tt
Rear Window,8.5,1954,Alfred Hitchcock,James Stewart; Grace Kelly; Wendell Corey; Thelma Ritter,112,/title/tt0047396/?ref_=adv_li_tt
Sanshô dayû,8.4,1954,Kenji Mizoguchi,Kinuyo Tanaka; Yoshiaki Hanayagi; Kyôko Kagawa; Eitarô Shindô,124,/title/tt0047445/?ref_=adv_li_tt
Dial M for Murder,8.2,1954,Alfred Hitchcock,Ray Milland; Grace Kelly; Robert Cummings; John Williams,105,/title/tt0046912/?ref_=adv_li_tt
On the Waterfront,8.1,1954,Elia Kazan,Marlon Brando; Karl Malden; Lee J. Cobb; Rod Steiger,108,/title/tt0047296/?ref_=adv_li_tt
Ordet,8.3,1955,Carl Theodor Dreyer,Henrik Malberg; Emil Hass Christensen; Preben Lerdorff Rye; Hanne Aagesen,126,/title/tt0048452/?ref_=adv_li_tt
Pather Panchali,8.3,1955,Satyajit Ray,Kanu Bannerjee; Karuna Bannerjee; Subir Banerjee; Chunibala Devi,125,/title/tt0048473/?ref_=adv_li_tt
Demonen,8.1,1955,Henri-Georges Clouzot,Simone Signoret; Véra Clouzot; Paul Meurisse; Charles Vanel,117,/title/tt0046911/?ref_=adv_li_tt
Du rififi chez les hommes,8.1,1955,Jules Dassin,Jean Servais; Carl Möhner; Robert Manuel; Janine Darcey,118,/title/tt0048021/?ref_=adv_li_tt
The Night of the Hunter,8.0,1955,Charles Laughton,Robert Mitchum; Shelley Winters; Lillian Gish; James Gleason,92,/title/tt0048424/?ref_=adv_li_tt
Un condamné à mort s'est échappé ou Le vent souffle où il veut,8.3,1956,Robert Bresson,François Leterrier; Charles Le Clainche; Maurice Beerblock; Roland Monod,101,/title/tt0049902/?ref_=adv_li_tt
Aparajito,8.3,1956,Satyajit Ray,Pinaki Sengupta; Smaran Ghosal; Kamala Adhikari; Rani Bala,110,/title/tt0048956/?ref_=adv_li_tt
Biruma no tategoto,8.0,1956,Kon Ichikawa,Rentarô Mikuni; Shôji Yasui; Tatsuya Mihashi; Jun Hamamura,116,/title/tt0049012/?ref_=adv_li_tt
The Killing,8.0,1956,Stanley Kubrick,Sterling Hayden; Coleen Gray; Vince Edwards; Jay C. Flippen,84,/title/tt0049406/?ref_=adv_li_tt
The Searchers,7.9,1956,John Ford,John Wayne; Jeffrey Hunter; Vera Miles; Ward Bond,119,/title/tt0049730/?ref_=adv_li_tt
Maya Bazaar,9.1,1957,Kadiri Venkata Reddy,N.T. Rama Rao; S.V. Ranga Rao; Savitri; Gemini Ganesan,192,/title/tt0249795/?ref_=adv_li_tt
Maya Bazaar,9.1,1957,Kadiri Venkata Reddy,N.T. Rama Rao; S.V. Ranga Rao; Savitri; Gemini Ganesan,192,/title/tt0249795/?ref_=adv_li_tt
Maya Bazaar,9.1,1957,Kadiri Venkata Reddy,N.T. Rama Rao; S.V. Ranga Rao; Savitri; Gemini Ganesan,192,/title/tt0249795/?ref_=adv_li_tt
Maya Bazaar,9.1,1957,Kadiri Venkata Reddy,N.T. Rama Rao; S.V. Ranga Rao; Savitri; Gemini Ganesan,192,/title/tt0249795/?ref_=adv_li_tt
Maya Bazaar,9.1,1957,Kadiri Venkata Reddy,N.T. Rama Rao; S.V. Ranga Rao; Savitri; Gemini Ganesan,192,/title/tt0249795/?ref_=adv_li_tt
Vertigo,8.3,1958,Alfred Hitchcock,James Stewart; Kim Novak; Barbara Bel Geddes; Tom Helmore,128,/title/tt0052357/?ref_=adv_li_tt
Kakushi-toride no san-akunin,8.1,1958,Akira Kurosawa,Toshirô Mifune; Misa Uehara; Minoru Chiaki; Kamatari Fujiwara,139,/title/tt0051808/?ref_=adv_li_tt
Touch of Evil,8.0,1958,Orson Welles,Charlton Heston; Orson Welles; Janet Leigh; Joseph Calleia,95,/title/tt0052311/?ref_=adv_li_tt
A Night to Remember,7.9,1958,Roy Ward Baker,Kenneth More; Ronald Allen; Robert Ayres; Honor Blackman,123,/title/tt0051994/?ref_=adv_li_tt
Jalsaghar,7.9,1958,Satyajit Ray,Chhabi Biswas; Gangapada Basu; Padmadevi; Kali Sarkar,100,/title/tt0051792/?ref_=adv_li_tt
Apur Sansar,8.5,1959,Satyajit Ray,Soumitra Chatterjee; Sharmila Tagore; Alok Chakravarty; Swapan Mukherjee,105,/title/tt0052572/?ref_=adv_li_tt
North by Northwest,8.3,1959,Alfred Hitchcock,Cary Grant; Eva Marie Saint; James Mason; Jessie Royce Landis,136,/title/tt0053125/?ref_=adv_li_tt
Ballada o soldate,8.2,1959,Grigoriy Chukhray,Vladimir Ivashov; Zhanna Prokhorenko; Antonina Maksimova; Nikolay Kryuchkov,88,/title/tt0052600/?ref_=adv_li_tt
Some Like It Hot,8.2,1959,Billy Wilder,Marilyn Monroe; Tony Curtis; Jack Lemmon; George Raft,121,/title/tt0053291/?ref_=adv_li_tt
Ben Hur,8.1,1959,William Wyler,Charlton Heston; Jack Hawkins; Stephen Boyd; Haya Harareet,212,/title/tt0052618/?ref_=adv_li_tt
Le trou,8.5,1960,Jacques Becker,André Bervil; Jean Keraudy; Michel Constantin; Philippe Leroy,131,/title/tt0054407/?ref_=adv_li_tt
Psycho,8.5,1960,Alfred Hitchcock,Anthony Perkins; Janet Leigh; Vera Miles; John Gavin,109,/title/tt0054215/?ref_=adv_li_tt
Het appartement,8.3,1960,Billy Wilder,Jack Lemmon; Shirley MacLaine; Fred MacMurray; Ray Walston,125,/title/tt0053604/?ref_=adv_li_tt
Rocco e i suoi fratelli,8.2,1960,Luchino Visconti,Alain Delon; Renato Salvatori; Annie Girardot; Claudia Cardinale,179,/title/tt0054248/?ref_=adv_li_tt
Mughal-E-Azam,8.1,1960,K. Asif,Prithviraj Kapoor; Madhubala; Dilip Kumar; Durga Khote,197,/title/tt0054098/?ref_=adv_li_tt
Ningen no jôken,8.8,1961,Masaki Kobayashi,Tatsuya Nakadai; Michiyo Aratama; Tamao Nakamura; Yûsuke Kawazu,190,/title/tt0055233/?ref_=adv_li_tt
Ningen no jôken,8.8,1961,Masaki Kobayashi,Tatsuya Nakadai; Michiyo Aratama; Tamao Nakamura; Yûsuke Kawazu,190,/title/tt0055233/?ref_=adv_li_tt
Ningen no jôken,8.8,1961,Masaki Kobayashi,Tatsuya Nakadai; Michiyo Aratama; Tamao Nakamura; Yûsuke Kawazu,190,/title/tt0055233/?ref_=adv_li_tt
Ningen no jôken,8.8,1961,Masaki Kobayashi,Tatsuya Nakadai; Michiyo Aratama; Tamao Nakamura; Yûsuke Kawazu,190,/title/tt0055233/?ref_=adv_li_tt
Ningen no jôken,8.8,1961,Masaki Kobayashi,Tatsuya Nakadai; Michiyo Aratama; Tamao Nakamura; Yûsuke Kawazu,190,/title/tt0055233/?ref_=adv_li_tt
Seppuku,8.6,1962,Masaki Kobayashi,Tatsuya Nakadai; Akira Ishihama; Shima Iwashita; Tetsurô Tanba,133,/title/tt0056058/?ref_=adv_li_tt
Lawrence of Arabia,8.3,1962,David Lean,Peter O'Toole; Alec Guinness; Anthony Quinn; Jack Hawkins,218,/title/tt0056172/?ref_=adv_li_tt
To Kill a Mockingbird,8.3,1962,Robert Mulligan,Gregory Peck; John Megna; Frank Overton; Rosemary Murphy,129,/title/tt0056592/?ref_=adv_li_tt
