title,rating,year_of_release,director,actors,runtime,url
The Shawshank Redemption,9.3,1994,Frank Darabont,Tim Robbins; Morgan Freeman; Bob Gunton; William Sadler,142,/title/tt0111161/?ref_=adv_li_tt
The Shawshank Redemption,9.3,1994,Frank Darabont,Tim Robbins; Morgan Freeman; Bob Gunton; William Sadler,142,/title/tt0111161/?ref_=adv_li_tt
The Shawshank Redemption,9.3,1994,Frank Darabont,Tim Robbins; Morgan Freeman; Bob Gunton; William Sadler,142,/title/tt0111161/?ref_=adv_li_tt
The Shawshank Redemption,9.3,1994,Frank Darabont,Tim Robbins; Morgan Freeman; Bob Gunton; William Sadler,142,/title/tt0111161/?ref_=adv_li_tt
Spadikam,8.6,1995,Bhadran,Chippy; K.P.A.C. Lalitha; Thilakan; Urvashi,150,/title/tt0292246/?ref_=adv_li_tt
Seven,8.6,1995,David Fincher,Morgan Freeman; Brad Pitt; Kevin Spacey; Andrew Kevin Walker,127,/title/tt0114369/?ref_=adv_li_tt
The Usual Suspects,8.5,1995,Bryan Singer,Kevin Spacey; Gabriel Byrne; Chazz Palminteri; Stephen Baldwin,106,/title/tt0114814/?ref_=adv_li_tt
Braveheart,8.4,1995,Mel Gibson,Mel Gibson; Sophie Marceau; Patrick McGoohan; Angus Macfadyen,178,/title/tt0112573/?ref_=adv_li_tt
Heat,8.3,1995,Michael Mann,Al Pacino; Robert De Niro; Val Kilmer; Jon Voight,170,/title/tt0113277/?ref_=adv_li_tt
Süt Kardesler,8.9,1996,Ertem Egilmez,Kemal Sunal; Sener Sen; Halit Akçatepe; Hale Soygazi,80,/title/tt0253779/?ref_=adv_li_tt
Süt Kardesler,8.9,1996,Ertem Egilmez,Kemal Sunal; Sener Sen; Halit Akçatepe; Hale Soygazi,80,/title/tt0253779/?ref_=adv_li_tt
Süt Kardesler,8.9,1996,Ertem Egilmez,Kemal Sunal; Sener Sen; Halit Akçatepe; Hale Soygazi,80,/title/tt0253779/?ref_=adv_li_tt
Süt Kardesler,8.9,1996,Ertem Egilmez,Kemal Sunal; Sener Sen; Halit Akçatepe; Hale Soygazi,80,/title/tt0253779/?ref_=adv_li_tt
Süt Kardesler,8.9,1996,Ertem Egilmez,Kemal Sunal; Sener Sen; Halit Akçatepe; Hale Soygazi,80,/title/tt0253779/?ref_=adv_li_tt
Het leven is mooi,8.6,1997,Roberto Benigni,Roberto Benigni; Nicoletta Braschi; Giorgio Cantarini; Giustino Durano,116,/title/tt0118799/?ref_=adv_li_tt
Princess Mononoke,8.4,1997,Hayao Miyazaki,Yôji Matsuda; Yuriko Ishida; Yûko Tanaka; Billy Crudup,134,/title/tt0119698/?ref_=adv_li_tt
Iruvar,8.4,1997,Mani Ratnam,Mohanlal; Aishwarya Rai Bachchan; Prakash Raj; Gautami,140,/title/tt0119385/?ref_=adv_li_tt
Good Will Hunting,8.3,1997,Gus Van Sant,Robin Williams; Matt Damon; Ben Affleck; Stellan Skarsgård,126,/title/tt0119217/?ref_=adv_li_tt
L.A. Confidential,8.2,1997,Curtis Hanson,Kevin Spacey; Russell Crowe; Guy Pearce; Kim Basinger,138,/title/tt0119488/?ref_=adv_li_tt
Lajanje na zvezde,8.7,1998,Zdravko Sotra,Dragan Micanovic; Natasa Tapuskovic; Nikola Simic; Velimir 'Bata' Zivojinovic,95,/title/tt0187231/?ref_=adv_li_tt
Lajanje na zvezde,8.7,1998,Zdravko Sotra,Dragan Micanovic; Natasa Tapuskovic; Nikola Simic; Velimir 'Bata' Zivojinovic,95,/title/tt0187231/?ref_=adv_li_tt
Lajanje na zvezde,8.7,1998,Zdravko Sotra,Dragan Micanovic; Natasa Tapuskovic; Nikola Simic; Velimir 'Bata' Zivojinovic,95,/title/tt0187231/?ref_=adv_li_tt
Lajanje na zvezde,8.7,1998,Zdravko Sotra,Dragan Micanovic; Natasa Tapuskovic; Nikola Simic; Velimir 'Bata' Zivojinovic,95,/title/tt0187231/?ref_=adv_li_tt
Lajanje na zvezde,8.7,1998,Zdravko Sotra,Dragan Micanovic; Natasa Tapuskovic; Nikola Simic; Velimir 'Bata' Zivojinovic,95,/title/tt0187231/?ref_=adv_li_tt
Fight Club,8.8,1999,David Fincher,Brad Pitt; Edward Norton; Meat Loaf; Zach Grenier,139,/title/tt0137523/?ref_=adv_li_tt
Fight Club,8.8,1999,David Fincher,Brad Pitt; Edward Norton; Meat Loaf; Zach Grenier,139,/title/tt0137523/?ref_=adv_li_tt
Fight Club,8.8,1999,David Fincher,Brad Pitt; Edward Norton; Meat Loaf; Zach Grenier,139,/title/tt0137523/?ref_=adv_li_tt
Fight Club,8.8,1999,David Fincher,Brad Pitt; Edward Norton; Meat Loaf; Zach Grenier,139,/title/tt0137523/?ref_=adv_li_tt
Fight Club,8.8,1999,David Fincher,Brad Pitt; Edward Norton; Meat Loaf; Zach Grenier,139,/title/tt0137523/?ref_=adv_li_tt
O Auto da Compadecida,8.6,2000,Guel Arraes,Matheus Nachtergaele; Selton Mello; Rogério Cardoso; Denise Fraga,104,/title/tt0271383/?ref_=adv_li_tt
Gladiator,8.5,2000,Ridley Scott,Russell Crowe; Joaquin Phoenix; Connie Nielsen; Oliver Reed,155,/title/tt0172495/?ref_=adv_li_tt
Memento,8.4,2000,Christopher Nolan,Guy Pearce; Carrie-Anne Moss; Joe Pantoliano; Mark Boone Junior,113,/title/tt0209144/?ref_=adv_li_tt
Requiem for a Dream,8.3,2000,Darren Aronofsky,Ellen Burstyn; Jared Leto; Jennifer Connelly; Marlon Wayans,102,/title/tt0180093/?ref_=adv_li_tt
Alai Payuthey,8.3,2000,Mani Ratnam,Madhavan; Shalini; Swarnamalya; V. Natarajan,156,/title/tt0242256/?ref_=adv_li_tt
The Lord of the Rings: The Fellowship of the Ring,8.8,2001,Peter Jackson,Elijah Wood; Ian McKellen; Orlando Bloom; Sean Bean,178,/title/tt0120737/?ref_=adv_li_tt
The Lord of the Rings: The Fellowship of the Ring,8.8,2001,Peter Jackson,Elijah Wood; Ian McKellen; Orlando Bloom; Sean Bean,178,/title/tt0120737/?ref_=adv_li_tt
The Lord of the Rings: The Fellowship of the Ring,8.8,2001,Peter Jackson,Elijah Wood; Ian McKellen; Orlando Bloom; Sean Bean,178,/title/tt0120737/?ref_=adv_li_tt
The Lord of the Rings: The Fellowship of the Ring,8.8,2001,Peter Jackson,Elijah Wood; Ian McKellen; Orlando Bloom; Sean Bean,178,/title/tt0120737/?ref_=adv_li_tt
The Lord of the Rings: The Fellowship of the Ring,8.8,2001,Peter Jackson,Elijah Wood; Ian McKellen; Orlando Bloom; Sean Bean,178,/title/tt0120737/?ref_=adv_li_tt
The Lord of the Rings: The Two Towers,8.8,2002,Peter Jackson,Elijah Wood; Ian McKellen; Viggo Mortensen; Orlando Bloom,179,/title/tt0167261/?ref_=adv_li_tt
The Lord of the Rings: The Two Towers,8.8,2002,Peter Jackson,Elijah Wood; Ian McKellen; Viggo Mortensen; Orlando Bloom,179,/title/tt0167261/?ref_=adv_li_tt
The Lord of the Rings: The Two Towers,8.8,2002,Peter Jackson,Elijah Wood; Ian McKellen; Viggo Mortensen; Orlando Bloom,179,/title/tt0167261/?ref_=adv_li_tt
The Lord of the Rings: The Two Towers,8.8,2002,Peter Jackson,Elijah Wood; Ian McKellen; Viggo Mortensen; Orlando Bloom,179,/title/tt0167261/?ref_=adv_li_tt
The Lord of the Rings: The Two Towers,8.8,2002,Peter Jackson,Elijah Wood; Ian McKellen; Viggo Mortensen; Orlando Bloom,179,/title/tt0167261/?ref_=adv_li_tt
The Lord of the Rings: The Return of the King,9.0,2003,Peter Jackson,Elijah Wood; Viggo Mortensen; Ian McKellen; Orlando Bloom,201,/title/tt0167260/?ref_=adv_li_tt
The Lord of the Rings: The Return of the King,9.0,2003,Peter Jackson,Elijah Wood; Viggo Mortensen; Ian McKellen; Orlando Bloom,201,/title/tt0167260/?ref_=adv_li_tt
The Lord of the Rings: The Return of the King,9.0,2003,Peter Jackson,Elijah Wood; Viggo Mortensen; Ian McKellen; Orlando Bloom,201,/title/tt0167260/?ref_=adv_li_tt
The Lord of the Rings: The Return of the King,9.0,2003,Peter Jackson,Elijah Wood; Viggo Mortensen; Ian McKellen; Orlando Bloom,201,/title/tt0167260/?ref_=adv_li_tt
The Lord of the Rings: The Return of the King,9.0,2003,Peter Jackson,Elijah Wood; Viggo Mortensen; Ian McKellen; Orlando Bloom,201,/title/tt0167260/?ref_=adv_li_tt
Marmoulak,8.5,2004,Kamal Tabrizi,Parviz Parastui; Bahram Ebrahimi; Shahrokh Foroutanian; Farideh Sepah Mansour,115,/title/tt0416960/?ref_=adv_li_tt
Black Friday,8.4,2004,Anurag Kashyap,Kay Kay Menon; Pawan Malhotra; Aditya Srivastav; Dibyendu Bhattacharya,143,/title/tt0400234/?ref_=adv_li_tt
Kad porastem bicu Kengur,8.4,2004,Radivoje Andric,Sergej Trifunovic; Marija Karan; Nebojsa Glogovac; Boris Milivojevic,92,/title/tt0383846/?ref_=adv_li_tt
Virumandi,8.4,2004,Kamal Haasan,Kamal Haasan; Abhirami; Pasupathy; Napolean,175,/title/tt0364647/?ref_=adv_li_tt
Eternal Sunshine of the Spotless Mind,8.3,2004,Michel Gondry,Jim Carrey; Kate Winslet; Tom Wilkinson; Gerry Robert Byrne,108,/title/tt0338013/?ref_=adv_li_tt
Graves End,8.7,2005,James Marlowe,Eric Roberts; Steven Williams; Daniel Roebuck; Valerie Mikita,90,/title/tt0419781/?ref_=adv_li_tt
Graves End,8.7,2005,James Marlowe,Eric Roberts; Steven Williams; Daniel Roebuck; Valerie Mikita,90,/title/tt0419781/?ref_=adv_li_tt
Graves End,8.7,2005,James Marlowe,Eric Roberts; Steven Williams; Daniel Roebuck; Valerie Mikita,90,/title/tt0419781/?ref_=adv_li_tt
Graves End,8.7,2005,James Marlowe,Eric Roberts; Steven Williams; Daniel Roebuck; Valerie Mikita,90,/title/tt0419781/?ref_=adv_li_tt
Graves End,8.7,2005,James Marlowe,Eric Roberts; Steven Williams; Daniel Roebuck; Valerie Mikita,90,/title/tt0419781/?ref_=adv_li_tt
Pudhu Pettai,8.5,2006,K. Selvaraghavan,Dhanush; Sneha; Sonia Agarwal; Azhagam Perumal,168,/title/tt0459516/?ref_=adv_li_tt
The Departed,8.5,2006,Martin Scorsese,Leonardo DiCaprio; Matt Damon; Jack Nicholson; Mark Wahlberg,151,/title/tt0407887/?ref_=adv_li_tt
The Prestige,8.5,2006,Christopher Nolan,Christian Bale; Hugh Jackman; Scarlett Johansson; Michael Caine,130,/title/tt0482571/?ref_=adv_li_tt
Das Leben der Anderen,8.4,2006,Florian Henckel von Donnersmarck,Ulrich Mühe; Martina Gedeck; Sebastian Koch; Ulrich Tukur,137,/title/tt0405094/?ref_=adv_li_tt
Khosla Ka Ghosla!,8.3,2006,"Dibakar Banerjee, Pravin E. Birje",Anupam Kher; Boman Irani; Parvin Dabas; Tara Sharma,135,/title/tt0466460/?ref_=adv_li_tt
Taare Zameen Par,8.4,2007,"Aamir Khan, Amole Gupte",Darsheel Safary; Aamir Khan; Tisca Chopra; Vipin Sharma,165,/title/tt0986264/?ref_=adv_li_tt
Khuda Kay Liye,8.3,2007,Shoaib Mansoor,Shaan Shahid; Fawad Khan; Iman Ali; Austin Marie Sayre,168,/title/tt1068956/?ref_=adv_li_tt
There Will Be Blood,8.2,2007,Paul Thomas Anderson,Daniel Day-Lewis; Paul Dano; Ciarán Hinds; Martin Stringer,158,/title/tt0469494/?ref_=adv_li_tt
No Country for Old Men,8.2,2007,"Ethan Coen, Joel Coen",Tommy Lee Jones; Javier Bardem; Josh Brolin; Woody Harrelson,122,/title/tt0477348/?ref_=adv_li_tt
Into the Wild,8.1,2007,Sean Penn,Emile Hirsch; Vince Vaughn; Catherine Keener; Marcia Gay Harden,148,/title/tt0758758/?ref_=adv_li_tt
The Dark Knight,9.0,2008,Christopher Nolan,Christian Bale; Heath Ledger; Aaron Eckhart; Michael Caine,152,/title/tt0468569/?ref_=adv_li_tt
The Dark Knight,9.0,2008,Christopher Nolan,Christian Bale; Heath Ledger; Aaron Eckhart; Michael Caine,152,/title/tt0468569/?ref_=adv_li_tt
The Dark Knight,9.0,2008,Christopher Nolan,Christian Bale; Heath Ledger; Aaron Eckhart; Michael Caine,152,/title/tt0468569/?ref_=adv_li_tt
The Dark Knight,9.0,2008,Christopher Nolan,Christian Bale; Heath Ledger; Aaron Eckhart; Michael Caine,152,/title/tt0468569/?ref_=adv_li_tt
The Dark Knight,9.0,2008,Christopher Nolan,Christian Bale; Heath Ledger; Aaron Eckhart; Michael Caine,152,/title/tt0468569/?ref_=adv_li_tt
Monpura,8.7,2009,"Md. Hafizur Rahman, Giasuddin Selim",Chanchal Chowdhury; Farhana Mili; Shirin Alam; Mohiuddin Bahar,136,/title/tt1621830/?ref_=adv_li_tt
Monpura,8.7,2009,"Md. Hafizur Rahman, Giasuddin Selim",Chanchal Chowdhury; Farhana Mili; Shirin Alam; Mohiuddin Bahar,136,/title/tt1621830/?ref_=adv_li_tt
Monpura,8.7,2009,"Md. Hafizur Rahman, Giasuddin Selim",Chanchal Chowdhury; Farhana Mili; Shirin Alam; Mohiuddin Bahar,136,/title/tt1621830/?ref_=adv_li_tt
Monpura,8.7,2009,"Md. Hafizur Rahman, Giasuddin Selim",Chanchal Chowdhury; Farhana Mili; Shirin Alam; Mohiuddin Bahar,136,/title/tt1621830/?ref_=adv_li_tt
Monpura,8.7,2009,"Md. Hafizur Rahman, Giasuddin Selim",Chanchal Chowdhury; Farhana Mili; Shirin Alam; Mohiuddin Bahar,136,/title/tt1621830/?ref_=adv_li_tt
Inception,8.8,2010,Christopher Nolan,Leonardo DiCaprio; Joseph Gordon-Levitt; Elliot Page; Ken Watanabe,148,/title/tt1375666/?ref_=adv_li_tt
Les Misérables in Concert: The 25th Anniversary,8.8,2010,"Nick Morris, Laurence Connor, James Powell",Alfie Boe; Norm Lewis; Matt Lucas; Jenny Galloway,178,/title/tt1754109/?ref_=adv_li_tt
Les Misérables in Concert: The 25th Anniversary,8.8,2010,"Nick Morris, Laurence Connor, James Powell",Alfie Boe; Norm Lewis; Matt Lucas; Jenny Galloway,178,/title/tt1754109/?ref_=adv_li_tt
Inception,8.8,2010,Christopher Nolan,Leonardo DiCaprio; Joseph Gordon-Levitt; Elliot Page; Ken Watanabe,148,/title/tt1375666/?ref_=adv_li_tt
Inception,8.8,2010,Christopher Nolan,Leonardo DiCaprio; Joseph Gordon-Levitt; Elliot Page; Ken Watanabe,148,/title/tt1375666/?ref_=adv_li_tt
The Phantom of the Opera at the Royal Albert Hall,8.8,2011,"Nick Morris, Laurence Connor",Ramin Karimloo; Sierra Boggess; Hadley Fraser; Wendy Ferguson,137,/title/tt2077886/?ref_=adv_li_tt
The Phantom of the Opera at the Royal Albert Hall,8.8,2011,"Nick Morris, Laurence Connor",Ramin Karimloo; Sierra Boggess; Hadley Fraser; Wendy Ferguson,137,/title/tt2077886/?ref_=adv_li_tt
Kill Bill: The Whole Bloody Affair,8.8,2011,Quentin Tarantino,Uma Thurman; Lucy Liu; Vivica A. Fox; Michael Madsen,247,/title/tt6019206/?ref_=adv_li_tt
The Phantom of the Opera at the Royal Albert Hall,8.8,2011,"Nick Morris, Laurence Connor",Ramin Karimloo; Sierra Boggess; Hadley Fraser; Wendy Ferguson,137,/title/tt2077886/?ref_=adv_li_tt
The Phantom of the Opera at the Royal Albert Hall,8.8,2011,"Nick Morris, Laurence Connor",Ramin Karimloo; Sierra Boggess; Hadley Fraser; Wendy Ferguson,137,/title/tt2077886/?ref_=adv_li_tt
Django Unchained,8.4,2012,Quentin Tarantino,Jamie Foxx; Christoph Waltz; Leonardo DiCaprio; Kerry Washington,165,/title/tt1853728/?ref_=adv_li_tt
The Dark Knight Rises,8.4,2012,Christopher Nolan,Christian Bale; Tom Hardy; Anne Hathaway; Gary Oldman,164,/title/tt1345836/?ref_=adv_li_tt
The Hunt,8.3,2012,Thomas Vinterberg,Mads Mikkelsen; Thomas Bo Larsen; Annika Wedderkopp; Lasse Fogelstrøm,115,/title/tt2106476/?ref_=adv_li_tt
Ustad Hotel,8.2,2012,Anwar Rasheed,Dulquer Salmaan; Thilakan; Siddique; Nithya Menen,151,/title/tt2218988/?ref_=adv_li_tt
Naduvula Konjam Pakkatha Kaanom,8.2,2012,Balaji Tharaneetharan,Vijay Sethupathi; Gayathrie; Bagavathi Perumal; Rajkumar,155,/title/tt2564144/?ref_=adv_li_tt
Soodhu Kavvum,8.3,2013,Nalan Kumarasamy,Vijay Sethupathi; Sanchita Shetty; Radha Ravi; M.S. Bhaskar,135,/title/tt2877108/?ref_=adv_li_tt
Drishyam,8.3,2013,Jeethu Joseph,Mohanlal; Meena; Asha Sharath; Ansiba,160,/title/tt3417422/?ref_=adv_li_tt
So-won,8.2,2013,Joon-ik Lee,Re Lee; Sol Kyung-gu; Uhm Ji-won; Kim Hae-sook,122,/title/tt3153634/?ref_=adv_li_tt
Bhaag Milkha Bhaag,8.2,2013,Rakeysh Omprakash Mehra,Farhan Akhtar; Japtej Singh; Divya Dutta; Pawan Malhotra,186,/title/tt2356180/?ref_=adv_li_tt
The Wolf of Wall Street,8.2,2013,Martin Scorsese,Leonardo DiCaprio; Jonah Hill; Margot Robbie; Matthew McConaughey,180,/title/tt0993846/?ref_=adv_li_tt
Interstellar,8.6,2014,Christopher Nolan,Matthew McConaughey; Anne Hathaway; Jessica Chastain; Mackenzie Foy,169,/title/tt0816692/?ref_=adv_li_tt
Whiplash,8.5,2014,Damien Chazelle,Miles Teller; J.K. Simmons; Melissa Benoist; Paul Reiser,106,/title/tt2582802/?ref_=adv_li_tt
Ulidavaru Kandanthe,8.4,2014,Rakshit Shetty,Rakshit Shetty; Rishab Shetty; Kishore Kumar G.; Achyuth Kumar,154,/title/tt3394420/?ref_=adv_li_tt
Bangalore Days,8.3,2014,Anjali Menon,Dulquer Salmaan; Nivin Pauly; Nazriya Nazim; Fahadh Faasil,171,/title/tt3668162/?ref_=adv_li_tt
Kaakkaa Muttai,8.3,2014,M. Manikandan,Ramesh Thilaganathan; J. Vignesh; Aishwarya Rajesh; Ramesh Thilak,91,/title/tt3973410/?ref_=adv_li_tt
Visaaranai,8.5,2015,Vetrimaaran,Dinesh; Samuthirakani; Anandhi; Murugadass,117,/title/tt4991384/?ref_=adv_li_tt
Thani Oruvan,8.4,2015,Mohan Raja,Jayam Ravi; Arvind Swami; Nayanthara; Nassar,160,/title/tt4987556/?ref_=adv_li_tt
Papanasam,8.4,2015,Jeethu Joseph,Kamal Haasan; Gautami; Nivetha Thomas; Esther Anil,179,/title/tt4429128/?ref_=adv_li_tt
Premam,8.3,2015,Alphonse Puthren,Nivin Pauly; Sai Pallavi; Madonna Sebastian; S.V. Krishna Shankar,156,/title/tt4679210/?ref_=adv_li_tt
Nil Battey Sannata,8.2,2015,Ashwiny Iyer Tiwari,Swara Bhaskar; Riya Shukla; Ratna Pathak Shah; Pankaj Tripathi,100,/title/tt5005684/?ref_=adv_li_tt
Oggatonama,9.0,2016,Tauquir Ahmed,Shahiduzzaman Selim; Ashraful Tushar; Mosharraf Karim; Nipun,100,/title/tt5510934/?ref_=adv_li_tt
Oggatonama,9.0,2016,Tauquir Ahmed,Shahiduzzaman Selim; Ashraful Tushar; Mosharraf Karim; Nipun,100,/title/tt5510934/?ref_=adv_li_tt
Aynabaji,9.0,2016,Amitabh Reza Chowdhury,Chanchal Chowdhury; Masuma Rahman Nabila; Partha Barua; Lutfur Rahman George,147,/title/tt5354160/?ref_=adv_li_tt
Oggatonama,9.0,2016,Tauquir Ahmed,Shahiduzzaman Selim; Ashraful Tushar; Mosharraf Karim; Nipun,100,/title/tt5510934/?ref_=adv_li_tt
Aynabaji,9.0,2016,Amitabh Reza Chowdhury,Chanchal Chowdhury; Masuma Rahman Nabila; Partha Barua; Lutfur Rahman George,147,/title/tt5354160/?ref_=adv_li_tt
Vikram Vedha,8.3,2017,"Gayatri, Pushkar, Gowtham Selvaraj",Madhavan; Vijay Sethupathi; Shraddha Srinath; Kathir,147,/title/tt6148156/?ref_=adv_li_tt
Ayla: The Daughter of War,8.3,2017,Can Ulkay,Çetin Tekindor; Ismail Hacioglu; Kyung-jin Lee; Kim Seol,125,/title/tt6316138/?ref_=adv_li_tt
Aloko Udapadi,8.3,2017,"Chathra Weeraman, Bharatha Hettiarachchi",Uddika Premarathna; Dilhani Ekanayake; Roshan Ravindra; Menaka Peiris,113,/title/tt5963218/?ref_=adv_li_tt
Theeran Adhigaaram Ondru,8.2,2017,H. Vinoth,Karthi; Rakul Preet Singh; Abhimanyu Singh; Bose Venkat,157,/title/tt7060460/?ref_=adv_li_tt
Baahubali 2: The Conclusion,8.2,2017,S.S. Rajamouli,Prabhas; Rana Daggubati; Anushka Shetty; Tamannaah Bhatia,167,/title/tt4849438/?ref_=adv_li_tt
C/o Kancharapalem,8.8,2018,Venkatesh Maha,Radha Bessy; Subba Rao Vepada; Praneeta Patnaik; Karthik Rathnam,152,/title/tt7391996/?ref_=adv_li_tt
C/o Kancharapalem,8.8,2018,Venkatesh Maha,Radha Bessy; Subba Rao Vepada; Praneeta Patnaik; Karthik Rathnam,152,/title/tt7391996/?ref_=adv_li_tt
C/o Kancharapalem,8.8,2018,Venkatesh Maha,Radha Bessy; Subba Rao Vepada; Praneeta Patnaik; Karthik Rathnam,152,/title/tt7391996/?ref_=adv_li_tt
C/o Kancharapalem,8.8,2018,Venkatesh Maha,Radha Bessy; Subba Rao Vepada; Praneeta Patnaik; Karthik Rathnam,152,/title/tt7391996/?ref_=adv_li_tt
C/o Kancharapalem,8.8,2018,Venkatesh Maha,Radha Bessy; Subba Rao Vepada; Praneeta Patnaik; Karthik Rathnam,152,/title/tt7391996/?ref_=adv_li_tt
Little Baby,8.5,2019,Shekhar S. Jha,Priyanshu Chatterjee; Gulnaz Siganporia; Shivani Mahajan; Ravi Khanna,105,/title/tt8569206/?ref_=adv_li_tt
Kaithi,8.5,2019,Lokesh Kanagaraj,Karthi; Narain; Arjun Das; George Maryan,145,/title/tt9900782/?ref_=adv_li_tt
Kumbalangi Nights,8.5,2019,Madhu C. Narayanan,Shane Nigam; Soubin Shahir; Fahadh Faasil; Sreenath Bhasi,135,/title/tt8413338/?ref_=adv_li_tt
Gisaengchung,8.5,2019,Bong Joon Ho,Song Kang-ho; Lee Sun-kyun; Cho Yeo-jeong; Choi Woo-sik,132,/title/tt6751668/?ref_=adv_li_tt
Jersey,8.5,2019,Gowtam Tinnanuri,Nani; Shraddha Srinath; Sathyaraj; Ronit Kamra,157,/title/tt8948790/?ref_=adv_li_tt
